,Unnamed: 0,index,archive_index_number,timestamp,non_event_flag,over_freq_flag,over_freq_index,under_freq_flag,under_freq_index,ambig_flag,severity_desc,file_name,ABC_values,Event Check
49636,2020-07-03 16:51:55.786000,False,False,nan,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-16-56_303.csv,"[nan, nan, nan]",3762,49634
49637,2020-07-03 16:56:43.786000,False,False,nan,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-17-01_304.csv,"[nan, nan, nan]",3762,49634
49638,2020-07-03 17:01:31.786000,False,True,14390,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-17-06_305.csv,"[nan, nan, nan]",3762,49634
49639,2020-07-03 17:06:19.786000,False,False,nan,True,10957,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-17-11_306.csv,"[nan, nan, nan]",3762,49634
49640,2020-07-03 17:11:07.786000,False,False,nan,True,0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-17-15_307.csv,"[nan, nan, nan]",3762,49634
49641,2020-07-03 17:15:55.786000,False,False,nan,True,999,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-17-20_308.csv,"[nan, nan, nan]",3762,49634
49642,2020-07-03 17:20:43.786000,False,False,nan,True,207,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-17-25_309.csv,"[nan, nan, nan]",3762,49634
49643,2020-07-03 17:25:31.786000,False,True,6342,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-17-30_310.csv,"[nan, nan, nan]",3762,49634
49644,2020-07-03 17:30:19.786000,False,True,0,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-17-35_311.csv,"[nan, nan, nan]",3762,49634
49645,2020-07-03 17:35:07.786000,False,False,nan,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-17-39_312.csv,"[nan, nan, nan]",3762,49634
49646,2020-07-03 17:39:55.786000,False,True,5945,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-17-44_313.csv,"[nan, nan, nan]",3762,49634
49647,2020-07-03 17:44:43.786000,False,True,4234,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-17-49_314.csv,"[nan, nan, nan]",3762,49634
49648,2020-07-03 17:49:31.786000,False,True,1278,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-17-54_315.csv,"[nan, nan, nan]",3762,49634
49649,2020-07-03 17:54:19.786000,False,True,918,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-17-59_316.csv,"[nan, nan, nan]",3762,49634
49650,2020-07-03 17:59:07.786000,False,True,0,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-18-03_317.csv,"[nan, nan, nan]",3762,49634
49651,2020-07-03 18:03:55.786000,False,True,447,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-18-08_318.csv,"[nan, nan, nan]",3762,49634
49652,2020-07-03 18:08:43.786000,False,False,nan,True,2388,False,Major,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-18-13_319.csv,"[nan, nan, nan]",3762,49634
49653,2020-07-03 18:13:31.786000,False,False,nan,True,0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-18-18_320.csv,"[nan, nan, nan]",3762,49634
49654,2020-07-03 18:18:19.786000,False,False,nan,True,3063,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-18-23_321.csv,"[nan, nan, nan]",3762,49634
49655,2020-07-03 18:23:07.786000,False,True,16311,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-18-27_322.csv,"[nan, nan, nan]",3762,49634
49656,2020-07-03 18:27:55.786000,False,False,nan,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-18-32_323.csv,"[nan, nan, nan]",3762,49634
49657,2020-07-03 18:32:43.786000,False,False,nan,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-18-37_324.csv,"[nan, nan, nan]",3762,49634
49658,2020-07-03 18:37:31.786000,False,False,nan,False,nan,False,Major,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-18-42_325.csv,"[nan, nan, nan]",3762,49634
49659,2020-07-03 18:42:19.786000,False,True,9274,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-18-47_326.csv,"[nan, nan, nan]",3762,49634
49660,2020-07-03 18:47:07.786000,False,True,5609,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-18-51_327.csv,"[nan, nan, nan]",3762,49634
49661,2020-07-03 18:51:55.786000,False,True,1297,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-18-56_328.csv,"[nan, nan, nan]",3762,49634
49662,2020-07-03 18:56:43.786000,False,False,nan,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-19-01_329.csv,"[nan, nan, nan]",3762,49634
49663,2020-07-03 19:01:31.786000,False,False,nan,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-19-06_330.csv,"[nan, nan, nan]",3762,49634
49664,2020-07-03 19:06:19.786000,False,False,nan,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-19-11_331.csv,"[nan, nan, nan]",3762,49634
